State,Year,(R01) Total Revenue,(R02) Total Rev-Own Sources,(R03) General Revenue,(R04) Gen Rev-Own Sources,(R05) Total Taxes,(E001) Total Expenditure,(E002) Total IG Expenditure,(E003) Direct Expenditure,(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E026) Total Educ-Cap Outlay,(E027) Elem Educ-Direct Exp,(E028) Elem Educ-Current Oper (E12),(E029) Elem Educ-Cap Outlay,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E032) High Ed-Aux-Cur Oper (E16),(E033) High Ed-NEC-Cur Oper (E18),(E034) Total High Ed-Cap Out,(E035) Total Other Education,(E036) Educational Assistance (E19),(E037) Educ-NEC-Direct Expend,(E038) Educ-NEC-Current Oper (E21),(E039) Educ-NEC-Cap Outlay,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32),(E057) Health-Capital Outlay,(E058) Total Hospital-Dir Exp,(E059) Total Hospital-Cur Op,(E060) Total Hospital-Cap Out,(E061) Own Hospital-Total Exp,(E062) Own Hospital-Cur Oper (E36),(E063) Own Hospital-Cap Out,(E064) Hosp-Other-Direct Exp,(E074) Hous & Com-Direct Exp,(E075) Hous & Com-Cur Oper (E50),(E076) Hous & Com-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
United States,1977,768380358,467879693,700275503,399774837,292757277,767788970,7446961,760342009,296103296,272745107,23358190,277283951,255882829,21401121,18799011,16843281,0,16843281,1955731,20334,0,20334,18997,1338,46269422,42105053,4164369,11381932,10857890,524042,34887490,31247164,3640327,33887009,30264834,3622175,1000482,12553425,7737862,4815564,46475940,24490442,21596938,18610078,2986860,388559
United States,1978,779824733,474269396,708083857,402528520,292203228,767335995,8407964,758928031,295111103,273092180,22018923,276455746,256321297,20134449,18653987,16769603,0,16769603,1884383,1370,0,1370,1280,91,45925428,42362110,3563318,11753560,11265425,488135,34171868,31096685,3075183,32235882,29665887,2569995,1935985,12848375,7839366,5009009,43439927,23436844,19676559,17006599,2669960,326524
United States,1979,765996355,456577270,692069799,382650714,263154346,761728580,5351387,756377193,287069639,265544245,21525394,269507336,249648027,19859308,17560945,15895496,0,15895496,1665449,1358,0,1358,721,637,47115183,43615865,3499318,11797342,11223734,573607,35317841,32392131,2925710,34033640,31326295,2707345,1284201,14724368,9379931,5344436,38117446,20971326,16878349,14620554,2257796,267770
United States,1980,742974215,448355632,668631932,374013349,248486615,750104213,5055239,745048974,281774677,260042865,21731813,264532939,244285146,20247793,17237202,15757083,0,15757083,1480119,4536,0,4536,636,3900,47480646,43939839,3540807,11497568,11053388,444180,35983078,32886451,3096627,34429253,31542317,2886936,1553825,16484941,10186145,6298796,35409224,19648281,15544467,13675754,1868712,216476
United States,1981,750513290,459930727,670581101,379998538,247123979,752433548,4547908,747885640,276704295,257027120,19677175,259426472,241039369,18387104,17277251,15987688,0,15987688,1289563,571,0,571,63,508,47124862,43962672,3162190,11577769,11155892,421877,35547093,32806780,2740313,34612792,31952916,2659876,934301,17428165,10603872,6824293,35636859,19836177,15570327,13699356,1870972,230355
United States,1982,774472172,488040976,690283721,403852525,254904256,769666469,4805754,764860715,275041812,257904414,17137398,257176158,241182583,15993576,17865654,16721832,0,16721832,1143822,0,0,0,0,0,52766631,49745693,3020938,12556797,12154143,402654,40209833,37591550,2618284,39245169,36666631,2578539,964664,19884815,11999937,7884878,36114010,20034551,15886319,13927296,1959023,193141
United States,1983,803932656,519799386,710083880,425950611,268896374,797483459,7150850,790332608,283876170,266161515,17714655,266447346,249887337,16560009,17428824,16274177,0,16274177,1154646,0,0,0,0,0,55409382,51731399,3677983,13245210,12786172,459037,42164173,38945227,3218945,41223327,38054141,3169186,940846,18680012,11823336,6856676,33984233,17640707,16204103,13821449,2382654,139424
United States,1984,835009893,546176340,737098841,448265288,281497193,819608431,8204374,811404056,290932733,273691261,17241472,273601931,257431851,16170080,17330802,16259410,0,16259410,1071392,0,0,0,0,0,56488211,53034340,3453871,13541769,13055036,486733,42946442,39979304,2967138,41909159,38995750,2913409,1037284,19311347,12336514,6974833,35558844,18736458,16671493,14027024,2644469,150892
United States,1985,886564283,582353604,780038505,475827827,296212626,860800940,8876130,851924810,306224440,286914037,19310403,288488077,270351701,18136376,17736363,16562336,0,16562336,1174027,0,0,0,0,0,58086071,54405398,3680674,14185833,13692305,493528,43900238,40713093,3187145,42850685,39692435,3158249,1049554,20581904,13579136,7002769,37201023,19704113,17325736,14350038,2975698,171174
United States,1986,940286802,621835330,823318166,504866694,313566134,925307626,10359782,914947844,329918000,307412758,22505242,311305059,290025694,21279365,18612941,17387063,0,17387063,1225877,0,0,0,0,0,60631825,57130653,3501171,15524767,15103195,421572,45107058,42027459,3079599,44060273,40998965,3061308,1046785,21833465,14297856,7535610,38100995,19662457,18222122,15031657,3190465,216416
