State,Year,(R01) Total Revenue,(R02) Total Rev-Own Sources,(R03) General Revenue,(R04) Gen Rev-Own Sources,(R05) Total Taxes,(E001) Total Expenditure,(E002) Total IG Expenditure,(E003) Direct Expenditure,(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E026) Total Educ-Cap Outlay,(E027) Elem Educ-Direct Exp,(E028) Elem Educ-Current Oper (E12),(E029) Elem Educ-Cap Outlay,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E032) High Ed-Aux-Cur Oper (E16),(E033) High Ed-NEC-Cur Oper (E18),(E034) Total High Ed-Cap Out,(E035) Total Other Education,(E036) Educational Assistance (E19),(E037) Educ-NEC-Direct Expend,(E038) Educ-NEC-Current Oper (E21),(E039) Educ-NEC-Cap Outlay,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32),(E057) Health-Capital Outlay,(E058) Total Hospital-Dir Exp,(E059) Total Hospital-Cur Op,(E060) Total Hospital-Cap Out,(E061) Own Hospital-Total Exp,(E062) Own Hospital-Cur Oper (E36),(E063) Own Hospital-Cap Out,(E064) Hosp-Other-Direct Exp,(E074) Hous & Com-Direct Exp,(E075) Hous & Com-Cur Oper (E50),(E076) Hous & Com-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
United States,1977,799546033,609357792,661479895,471291654,395359394,747914378,244291400,503622979,105886003,87743541,11396071,2545269,1725918,819351,82783092,73736407,9770412,63965995,9046685,20557642,6746392,13811250,12281216,1530035,43839607,39593115,4246492,10119011,9430504,688507,33720596,30162611,3557985,33138563,29580578,3557985,582033,695657,333056,362601,88572338,65649892,22757250,20760554,1996696,165196
United States,1978,817967174,623623467,687419875,493076168,411730280,740976891,244604671,496372220,107518142,90752850,9511645,2375994,1758659,617335,84552510,77009099,10058613,66950487,7543411,20589638,7253647,13335991,11985092,1350899,44780934,41516054,3264880,11159418,10627664,531754,33621516,30888390,2733126,32638960,30346483,2292478,982555,598701,374890,223810,93531292,70323736,23032323,20765837,2266486,175233
United States,1979,806255423,619882377,678896029,492522984,407647996,733424382,247996110,485428272,102892540,86456635,9504228,2719910,1782622,937288,80572111,73158173,9707338,63450835,7413937,19600519,6931676,12668843,11515840,1153003,45006535,42029944,2976591,11639183,11291692,347491,33367351,30738252,2629100,32391148,30137302,2253846,976203,698439,541874,156565,93835500,71552484,22032780,20066986,1965795,250236
United States,1980,796658232,611628267,671909034,486879070,394285770,741575547,243070285,498505263,101395530,85639014,9151799,2772782,1844962,927821,80328829,73260145,9813119,63447026,7068684,18293918,6604717,11689201,10533907,1155294,45063760,41577315,3486445,12626042,11696194,929849,32437718,29881121,2556597,31684936,29540608,2144328,752782,950671,781034,169637,95618163,73813741,21623697,19648229,1975468,180725
United States,1981,810467758,625897718,673136616,488566576,390433862,760141964,242960805,517181159,103420543,87016810,9859075,2711928,1696432,1015497,82103740,74334768,10003862,64330906,7768971,18604875,6544657,12060218,10985610,1074607,47005058,43494408,3510649,13899188,12805317,1093871,33105870,30689092,2416778,32228005,30078406,2149598,877865,1047967,860241,187726,100596017,78600613,21846457,19762618,2083838,148948
United States,1982,812731864,642851358,675710120,505829615,399385030,761719021,242526051,519192970,103896697,87854394,9523721,2588157,1721861,866296,84235667,76301802,10451276,65850527,7933865,17072872,6518582,10554291,9830731,723560,47244085,44517673,2726413,13167257,12814787,352470,34076828,31702886,2373943,33601770,31240044,2361726,475058,1198498,1079255,119243,101960992,81607063,20169778,18021105,2148673,184151
United States,1983,851122007,678053134,691251302,518182428,407973888,794028248,240079426,553948822,106096938,91279832,8177410,2327026,1754464,572563,86849387,79904787,10830504,69074283,6944600,16920525,6639696,10280829,9620582,660247,48701653,46525997,2175657,13640757,13239970,400787,35060897,33286027,1774869,34605172,32855896,1749276,455725,1559546,1464265,95280,106791246,84939794,21616055,18760664,2855391,235396
United States,1984,905835265,720031719,754485512,568681966,448929925,801117290,247221250,553896040,110804533,94899871,9211861,2185821,1798859,386963,91283897,83561833,11221945,72339888,7722064,17334814,6692801,10642013,9539179,1102834,49198625,47254449,1944176,14463469,14104421,359048,34735156,33150028,1585128,34372985,32787896,1585089,362171,1865709,1760582,105127,112056539,90204803,21559112,18926734,2632378,292624
United States,1985,967929115,769930215,805846718,607847818,475560854,860712010,267792096,592919915,118216559,100561163,10376529,2246703,1972907,273796,97503254,88480131,11743985,76736146,9023123,18466602,7278867,11187735,10108125,1079610,51128250,48841679,2286571,16016047,15464628,551419,35112203,33377051,1735152,34807795,33072658,1735136,304408,2277850,2195240,82610,115942218,94578678,21005240,18477251,2527989,358301
United States,1986,1040858154,827686050,850976270,637804167,493241434,917431651,285385462,632046189,125990482,106946759,10993752,2506236,2140547,365690,103647841,93591988,12529348,81062641,10055853,19836405,8049971,11786434,11214224,572210,55142972,52506047,2636924,18102109,17346007,756102,37040863,35160040,1880823,36741292,34882971,1858321,299571,2570826,2502562,68263,121462900,98424955,22573227,20062118,2511109,464718
United States,1987,1078246316,864637542,874340276,660731502,514321691,950779493,294766259,656013234,128622151,107875298,12454811,2714965,2301683,413282,105802805,94403233,12354949,82048283,11399573,20104381,8292042,11812339,11170382,641957,56755482,54164333,2591149,19210599,18513310,697289,37544882,35651023,1893860,37266896,35377322,1889574,277986,2729845,2591011,138834,127834120,105034451,22386685,20008289,2378397,412983
United States,1988,1084760124,869899397,891845140,676984413,529222770,971042383,303858331,667184052,128445451,107746442,12599595,2801717,2202796,598922,105004371,93691410,12523598,81167812,11312962,20639362,8099414,12539948,11852236,687712,58866346,56278703,2587643,19624990,18869663,755327,39241356,37409040,1832316,39047234,37217419,1829815,194122,3054692,2925050,129642,133374689,111032860,21950709,19641170,2309539,391120
United States,1989,1121875478,900598639,922686261,701409422,543634107,1003646059,316179560,687466499,131090762,110460779,12528401,2708577,2274285,434292,107017677,95725138,12067497,83657641,11292539,21364508,8101581,13262927,12461356,801570,61853268,59208429,2644838,21119633,20321669,797964,40733635,38886760,1846875,40533023,38694185,1838837,200612,3445482,3300315,145167,139793913,117982177,21369116,18967842,2401275,442620
United States,1990,1146407093,917316962,938328869,709238739,544918884,1037866813,317402634,720464180,136908692,114819253,13153060,3261408,2558206,703202,110579643,99035731,12208432,86827299,11543912,23067641,8936379,14131262,13225316,905945,64454918,61677737,2777181,23558677,22591750,966928,40896241,39085987,1810253,40701952,38891699,1810253,194289,3125596,2909689,215907,151124959,128773494,21708820,19352764,2356056,642644
United States,1991,1148450061,898671023,960113309,710334271,540442455,1094307681,324619733,769687948,140031983,118421810,11983017,3475910,2731330,744580,114088286,103433444,12498778,90934666,10654842,22467786,9627155,12840631,12257035,583596,67004868,64084860,2920008,24571314,23621370,949944,42433554,40463490,1970064,42250055,40279992,1970064,183498,3061209,2915017,146192,174220320,150543619,23216600,20822027,2394573,460102
United States,1992,1256074534,969004939,1028488749,741419154,559481455,1185255466,342646687,842608778,145921704,121101839,15144807,3753180,3058989,694191,119782874,105916251,12962392,92953859,13866623,22385649,9675058,12710592,12126599,583993,70351246,67456908,2894337,26418972,25547018,871954,43932273,41909890,2022383,43761552,41739168,2022383,170722,2712355,2571413,140941,212704325,187301765,24972162,22828055,2144107,430398
United States,1993,1320727780,1011939865,1072012997,763225082,580404309,1219139949,351170427,867969523,148226179,123493720,14545727,4150325,3199826,950499,121327969,108237791,12770387,95467403,13090178,22747885,10186732,12561153,12056103,505050,73157634,69836928,3320707,28168868,27150768,1018100,44988766,42686160,2302606,44833727,42531121,2302606,155039,2948349,2663064,285285,224840840,198713322,25706031,23647660,2058370,421487
United States,1994,1346138096,1019051681,1107195861,780109445,597051547,1239524918,359465575,880059343,151767154,126861795,13744314,3732690,3122280,610410,123350890,110793246,13619717,97173530,12557644,24683574,11161046,13522528,12946268,576260,75160207,71362036,3798170,30277671,29108424,1169247,44882535,42253612,2628923,44709534,42080611,2628923,173002,3270246,2961497,308749,237087832,212282053,24327727,22001527,2326200,478051
United States,1995,1409666764,1074424010,1149351956,814109201,620765260,1301854741,374432178,927422563,157871213,129712294,15616923,3401665,2790664,611002,128055988,113732968,13901618,99831350,14323020,26413560,12541997,13871563,13188662,682901,76963208,73228240,3734968,32043916,30769505,1274411,44919292,42458735,2460557,44783395,42322838,2460557,135898,3242865,2951420,291445,249490811,224824463,24020589,21806311,2214278,645759
United States,1996,1460484132,1126078957,1163960575,829555400,632030589,1298531607,380684950,917846657,160979842,131271912,15777784,3696299,2992451,703848,128928760,114502047,13971598,100530449,14426713,28354783,13930146,14424637,13777415,647223,77408817,73820440,3588377,33505154,32149448,1355706,43903663,41670992,2232671,43773720,41541048,2232671,129944,3578852,3181593,397260,242722723,220768270,21283986,19412810,1871176,670467
United States,1997,1536190131,1195270519,1204197141,863277529,655963612,1320401970,391458797,928943173,164840422,135818426,16118427,4149019,3350935,798084,133528597,119075561,14573143,104502418,14453035,27162807,12903569,14259238,13391930,867308,75933536,72605750,3327787,33248810,32030542,1218267,42684727,40575208,2109519,42527604,40418085,2109519,157122,3582223,3249886,332338,247296356,227271670,19374229,17502044,1872185,650457
United States,1998,1604211167,1254082069,1255641232,905512133,687860328,1352235188,405478518,946756670,172401468,141313124,17405359,4196902,3564286,632616,139957384,123976577,15436288,108540289,15980807,28247182,13682984,14564197,13772261,791936,75053671,71746776,3306895,33632689,32484651,1148038,41420982,39262125,2158857,41311050,39152193,2158857,109932,3509546,3215341,294205,250276848,231962024,17600721,15743862,1856860,714103
United States,1999,1640154445,1279234206,1289048268,928128029,711254745,1420345168,433819713,986525456,179519477,147684041,17490160,4161784,3297160,864624,145948327,130085233,16070522,114014710,15863094,29409367,14345276,15064091,14301648,762442,77381064,74142557,3238507,35362831,34107544,1255287,42018233,40035012,1983221,41892193,39908985,1983208,126040,3393721,3107040,286681,259264686,241262222,17278137,15419443,1858694,724327
United States,2000,1735412113,1357751863,1355461145,977800894,742784489,1492157111,450180660,1041976451,190398090,156276162,19376178,4654119,3937057,717062,155353573,137466961,18108392,119358569,17886612,30390398,14745750,15644648,14872144,772505,81936274,78869916,3066359,37679179,36325725,1353454,44257096,42544191,1712905,44159909,42447037,1712872,97187,4353172,3169037,1184135,273469506,257102328,15721584,13795890,1925694,645593
United States,2001,1579629532,1170610142,1404299426,995280036,749031435,1587396149,468850068,1118546081,203894780,167485052,19989856,5737864,4939242,798623,164512833,146393286,19259481,127133806,18119547,33644083,16419873,17224210,16152524,1071686,82647036,79447985,3199051,36987956,35794863,1193094,45659079,43653122,2005957,45545359,43543590,2001770,113720,4306266,3502751,803514,294992129,279406465,15023935,13253913,1770022,561729
United States,2002,1445349537,1003418092,1400004790,958073345,705110636,1690148842,480683502,1209465340,213447433,173592207,21856323,5355522,4709936,645586,172962576,152719062,16935589,135783473,20243514,35129334,17998902,17130432,16163209,967223,88579046,85627110,2951935,39736286,38520915,1215372,48842760,47106196,1736564,48709704,46973140,1736564,133056,4984113,4217751,766362,318150041,303757144,13805921,11938928,1866993,586976
United States,2003,1668984601,1203172709,1432856677,967044785,707174828,1750638965,492321111,1258317854,219865646,178458828,22834291,6042594,5214552,828042,176924032,155756616,17287871,138468745,21167416,36899020,18572527,18326493,17487660,838833,88074719,84300813,3773906,39095819,37913825,1181993,48978900,46386987,2591912,48787740,46196808,2590932,191159,5935313,4938356,996957,341491577,326106290,14789206,12221761,2567445,596080
