State,Year,(R01) Total Revenue,(R02) Total Rev-Own Sources,(R03) General Revenue,(R04) Gen Rev-Own Sources,(R05) Total Taxes,(E001) Total Expenditure,(E002) Total IG Expenditure,(E003) Direct Expenditure,(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E026) Total Educ-Cap Outlay,(E027) Elem Educ-Direct Exp,(E028) Elem Educ-Current Oper (E12),(E029) Elem Educ-Cap Outlay,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E032) High Ed-Aux-Cur Oper (E16),(E033) High Ed-NEC-Cur Oper (E18),(E034) Total High Ed-Cap Out,(E035) Total Other Education,(E036) Educational Assistance (E19),(E037) Educ-NEC-Direct Expend,(E038) Educ-NEC-Current Oper (E21),(E039) Educ-NEC-Cap Outlay,(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32),(E057) Health-Capital Outlay,(E058) Total Hospital-Dir Exp,(E059) Total Hospital-Cur Op,(E060) Total Hospital-Cap Out,(E061) Own Hospital-Total Exp,(E062) Own Hospital-Cur Oper (E36),(E063) Own Hospital-Cap Out,(E064) Hosp-Other-Direct Exp,(E074) Hous & Com-Direct Exp,(E075) Hous & Com-Cur Oper (E50),(E076) Hous & Com-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E093) Welf-Categ-Cash Assist (E67),(E094) Welf-Cash-Cash Assist (E68),(E095) Public Welf-Cap Outlay
United States,1977,1321467013,1077237485,1115296020,871066491,688116671,1269386849,5421862,1263964988,401989299,360488647,34754260,279829220,257608747,22220473,101582103,90579688,9770412,80809276,11002415,20577976,6746392,13831585,12300212,1531372,90109029,81698168,8410861,21500942,20288393,1212549,68608087,61409775,7198312,67025572,59845412,7180160,1582515,13249082,8070918,5178164,135048278,90140334,44354188,39370632,4983556,553755
United States,1978,1350877266,1097892863,1148589091,895604688,703933508,1260652903,5352651,1255300252,402629245,363845030,31530568,278831739,258079956,20751784,103206497,93778703,10058613,83720090,9427795,20591008,7253647,13337361,11986371,1350990,90706362,83878164,6828198,22912979,21893089,1019889,67793384,61985075,5808309,64874843,60012370,4862473,2918541,13447076,8214257,5232819,136971219,93760581,42708882,37772436,4936446,501756
United States,1979,1321846768,1076459647,1120560819,875173698,670802342,1246680493,4875028,1241805465,389962179,352000880,31029622,272227246,251430650,20796596,98133056,89053669,9707338,79346331,9079387,19601877,6931676,12670201,11516561,1153639,92121717,85645809,6475908,23436525,22515427,921098,68685192,63130382,5554810,66424788,61463598,4961190,2260404,15422807,9921806,5501001,131952946,92523810,38911130,34687539,4223591,518006
United States,1980,1298808859,1059983900,1099717378,860892419,642772385,1248577340,5023104,1243554236,383170208,345681879,30883611,267305721,246130108,21175614,97566032,89017228,9813119,79204109,8548803,18298454,6604717,11693737,10534543,1159194,92544406,85517154,7027252,24123610,22749582,1374028,68420796,62767572,5653224,66114189,61082925,5031264,2306607,17435612,10967179,6468433,131027387,93462022,37168163,33323983,3844180,397202
United States,1981,1321266289,1085828445,1104002958,868565114,637557841,1269950567,4883768,1265066799,380124838,344043930,29536250,262138401,242735801,19402600,99380991,90322457,10003862,80318595,9058534,18605446,6544657,12060789,10985673,1075116,94129920,87457080,6672839,25476957,23961209,1515748,68652962,63495871,5157091,66840797,62031323,4809474,1812166,18476132,11464113,7012019,136232876,98436790,37416784,33461974,3954810,379303
United States,1982,1345268999,1130892334,1124058805,909682140,654289285,1288458244,4404559,1284053685,378938509,345758808,26661119,259764315,242904444,16859872,102101321,93023634,10451276,82572358,9077687,17072872,6518582,10554291,9830731,723560,100010716,94263366,5747350,25724054,24968930,755124,74286662,69294435,4992226,72846939,67906675,4940264,1439722,21083313,13079192,8004121,138075003,101641614,36056097,31948401,4107696,377292
United States,1983,1412040012,1197852520,1158320531,944133039,676870262,1348481409,4199979,1344281430,389973108,357441347,25892065,268774372,251641801,17132572,104278211,96178964,10830504,85348461,8099247,16920525,6639696,10280829,9620582,660247,104111036,98257396,5853639,26885966,26026142,859824,77225069,72231254,4993815,75828499,70910037,4918462,1396570,20239557,13287601,6951956,140775479,102580501,37820158,32582113,5238045,374820
United States,1984,1487337123,1266208059,1238076317,1016947254,730427118,1369228598,3928501,1365300097,401737265,368591131,26453333,275787752,259230710,16557043,108614699,99821242,11221945,88599297,8793456,17334814,6692801,10642013,9539179,1102834,105686836,100288789,5398047,28005237,27159456,845781,77681599,73129332,4552266,76282144,71783646,4498498,1399454,21177056,14097096,7079960,147615383,108941262,38230605,32953758,5276847,443516
United States,1985,1586124298,1352283819,1317516124,1083675645,771773480,1449169774,4325049,1444844724,424440999,387475200,29686932,290734780,272324608,18410172,115239617,105042467,11743985,93298482,10197150,18466602,7278867,11187735,10108125,1079610,109214321,103247077,5967244,30201880,29156933,1044948,79012441,74090144,4922297,77658479,72765094,4893386,1353962,22859754,15774376,7085379,153143241,114282791,38330975,32827288,5503687,529475
United States,1986,1694104778,1449521380,1387254259,1142670861,806807569,1551548027,4553994,1546994033,455908482,414359517,33498995,313811295,292166241,21645054,122260782,110979052,12529348,98449704,11281730,19836405,8049971,11786434,11214224,572210,115774797,109636701,6138096,33626876,32449202,1177674,82147921,77187499,4960422,80801565,75881936,4919630,1346356,24404291,16800418,7603873,159563895,118087412,40795349,35093775,5701574,681134
