state,year,totaltaxableresources_inbn
Alabama,1995,101.2
Alabama,1996,110.1
Alabama,1997,116.4
Alabama,1998,123.7
Alabama,1999,129.2
Alabama,2000,131.3
Alabama,2001,134
Alabama,2002,144.1
Alabama,2003,164.9
Alabama,2004,182
Alabama,2005,173.9
Alabama,2006,185.1
Alabama,2007,193.6
Alabama,2008,193.1
Alabama,2009,183.4
Alabama,2010,190.2
Alabama,2011,198.3
Alabama,2012,207.6
Alabama,2013,209.1
Alabama,2014,215.6
Alabama,2015,221.9
Alaska,1995,23.1
Alaska,1996,26
Alaska,1997,28
Alaska,1998,26.3
Alaska,1999,27.1
Alaska,2000,27.5
Alaska,2001,28.7
Alaska,2002,30.9
Alaska,2003,34.5
Alaska,2004,38.5
Alaska,2005,41.4
Alaska,2006,46.6
Alaska,2007,51.7
Alaska,2008,56.6
Alaska,2009,50.8
Alaska,2010,54.5
Alaska,2011,59.5
Alaska,2012,62.2
Alaska,2013,60.2
Alaska,2014,59.3
Alaska,2015,54.7
Arizona,1995,112.8
Arizona,1996,127.5
Arizona,1997,138.6
Arizona,1998,151.8
Arizona,1999,163.7
Arizona,2000,182.3
Arizona,2001,186.8
Arizona,2002,197.4
Arizona,2003,210.7
Arizona,2004,228.4
Arizona,2005,256.8
Arizona,2006,281.9
Arizona,2007,298.4
Arizona,2008,282.4
Arizona,2009,259.6
Arizona,2010,263.2
Arizona,2011,275.9
Arizona,2012,292.9
Arizona,2013,294.3
Arizona,2014,309.9
Arizona,2015,323
Arkansas,1995,57.3
Arkansas,1996,63.3
Arkansas,1997,66.7
Arkansas,1998,70.1
Arkansas,1999,73.4
Arkansas,2000,76.8
Arkansas,2001,78.7
Arkansas,2002,82.9
Arkansas,2003,94.2
Arkansas,2004,102.5
Arkansas,2005,99.7
Arkansas,2006,106.2
Arkansas,2007,111.5
Arkansas,2008,113.2
Arkansas,2009,108.2
Arkansas,2010,112.8
Arkansas,2011,120.2
Arkansas,2012,127
Arkansas,2013,128.4
Arkansas,2014,135
Arkansas,2015,137.2
California,1995,967.1
California,1996,1057.1
California,1997,1147
California,1998,1245
California,1999,1355.4
California,2000,1495.2
California,2001,1452.3
California,2002,1551.2
California,2003,1786.6
California,2004,1939.9
California,2005,1929.1
California,2006,2080.2
California,2007,2187
California,2008,2138.3
California,2009,2004.8
California,2010,2069.9
California,2011,2171.9
California,2012,2338.2
California,2013,2381.7
California,2014,2565.2
California,2015,2722
Colorado,1995,114.7
Colorado,1996,130
Colorado,1997,144.5
Colorado,1998,156.8
Colorado,1999,170.7
Colorado,2000,193.9
Colorado,2001,197.4
Colorado,2002,205.1
Colorado,2003,248.3
Colorado,2004,264.5
Colorado,2005,242.5
Colorado,2006,261
Colorado,2007,280.6
Colorado,2008,279.2
Colorado,2009,263.3
Colorado,2010,269.8
Colorado,2011,286.1
Colorado,2012,304.6
Colorado,2013,311.1
Colorado,2014,336.1
Colorado,2015,346.5
Connecticut,1995,135.1
Connecticut,1996,145.5
Connecticut,1997,159
Connecticut,1998,170.5
Connecticut,1999,178
Connecticut,2000,200
Connecticut,2001,198.6
Connecticut,2002,202.6
Connecticut,2003,228.3
Connecticut,2004,253
Connecticut,2005,251.2
Connecticut,2006,271.8
Connecticut,2007,298.8
Connecticut,2008,284.9
Connecticut,2009,269.5
Connecticut,2010,276.8
Connecticut,2011,279.7
Connecticut,2012,295.4
Connecticut,2013,291.1
Connecticut,2014,302.3
Connecticut,2015,314.2
Delaware,1995,30.3
Delaware,1996,32.1
Delaware,1997,35
Delaware,1998,36.8
Delaware,1999,38.7
Delaware,2000,46
Delaware,2001,48.2
Delaware,2002,48.2
Delaware,2003,51.7
Delaware,2004,57.3
Delaware,2005,59.8
Delaware,2006,63.4
Delaware,2007,65.1
Delaware,2008,62.7
Delaware,2009,63.5
Delaware,2010,63.5
Delaware,2011,66.9
Delaware,2012,68.4
Delaware,2013,68.5
Delaware,2014,73.8
Delaware,2015,77.2
District of Columbia,1995,25.3
District of Columbia,1996,25
District of Columbia,1997,26.7
District of Columbia,1998,27.6
District of Columbia,1999,28.5
District of Columbia,2000,31.3
District of Columbia,2001,35.8
District of Columbia,2002,41.4
District of Columbia,2003,40.7
District of Columbia,2004,44.8
District of Columbia,2005,47.4
District of Columbia,2006,50.3
District of Columbia,2007,54.6
District of Columbia,2008,55.3
District of Columbia,2009,53.7
District of Columbia,2010,56.4
District of Columbia,2011,59.5
District of Columbia,2012,63.3
District of Columbia,2013,63.3
District of Columbia,2014,67.4
District of Columbia,2015,71.1
Florida,1995,394.1
Florida,1996,444.1
Florida,1997,479.1
Florida,1998,518
Florida,1999,546
Florida,2000,594
Florida,2001,604.3
Florida,2002,652.5
Florida,2003,738.8
Florida,2004,828.4
Florida,2005,862.6
Florida,2006,932.1
Florida,2007,972.8
Florida,2008,905.4
Florida,2009,833.5
Florida,2010,860.6
Florida,2011,889.8
Florida,2012,946.8
Florida,2013,946.8
Florida,2014,1021.5
Florida,2015,1092.3
Georgia,1995,206.8
Georgia,1996,235.1
Georgia,1997,254.8
Georgia,1998,278.4
Georgia,1999,300
Georgia,2000,321.5
Georgia,2001,327.7
Georgia,2002,347.3
Georgia,2003,428.4
Georgia,2004,454.1
Georgia,2005,416.5
Georgia,2006,440.7
Georgia,2007,460.3
Georgia,2008,442.5
Georgia,2009,425.5
Georgia,2010,433.7
Georgia,2011,453.5
Georgia,2012,475.5
Georgia,2013,483.3
Georgia,2014,515.9
Georgia,2015,541.6
Hawaii,1995,38
Hawaii,1996,40.3
Hawaii,1997,41.8
Hawaii,1998,42.9
Hawaii,1999,44.7
Hawaii,2000,45.7
Hawaii,2001,46.1
Hawaii,2002,49.2
Hawaii,2003,50.3
Hawaii,2004,56.2
Hawaii,2005,62.7
Hawaii,2006,67.4
Hawaii,2007,71.1
Hawaii,2008,71.1
Hawaii,2009,68.4
Hawaii,2010,70.8
Hawaii,2011,72.7
Hawaii,2012,76.6
Hawaii,2013,77.5
Hawaii,2014,81.1
Hawaii,2015,85
Idaho,1995,29.3
Idaho,1996,32
Idaho,1997,33.8
Idaho,1998,36
Idaho,1999,39.7
Idaho,2000,41.7
Idaho,2001,41
Idaho,2002,44.1
Idaho,2003,49.1
Idaho,2004,53.8
Idaho,2005,54.3
Idaho,2006,60.2
Idaho,2007,64
Idaho,2008,63.6
Idaho,2009,59.3
Idaho,2010,60.5
Idaho,2011,63.5
Idaho,2012,67.3
Idaho,2013,68.9
Idaho,2014,72.7
Idaho,2015,75.7
Illinois,1995,380.9
Illinois,1996,420.6
Illinois,1997,450.1
Illinois,1998,481.4
Illinois,1999,498.9
Illinois,2000,542.8
Illinois,2001,539.8
Illinois,2002,567.2
Illinois,2003,652.8
Illinois,2004,695.1
Illinois,2005,649.3
